Max Alpha,MSE,RMSE,R2 Score
0.01,1754339974092.296,1324514.9957974413,0.6529200528262993
0.1,1754531800425.8503,1324587.407620143,0.6528821017594024
1.0,1756474279575.2852,1325320.4441097577,0.6524978002155009
10.0,1778202744652.5803,1333492.6863888607,0.6481990242527088
100.0,2050829600484.3652,1432071.7860793031,0.5942623209240472
1000.0,3020978562178.5933,1738096.2465233603,0.40232731667854826
