Max Depth,MSE,RMSE,R2 Score
2.0,3180278896373.684,1783333.6469583262,0.3708112180923593
3.0,3152798618642.1177,1775612.1813735447,0.37624793702041404
4.0,3041229152101.3677,1743912.0253330923,0.3983209246539525
5.0,2728524056321.269,1651824.4629261515,0.4601867372826932
6.0,2593873978144.608,1610550.8306615497,0.4868260105767255
8.0,2893872261655.712,1701138.5192440127,0.42747412329666223
10.0,2551053758132.1855,1597201.8526573859,0.49529759528627837
,2642802637614.6787,1625669.904259373,0.4771459275854347
